Year Month,Postal Code,Customer Class,Total Gallons
201204,78729,Irrigation - Residential,1800
201204,78729,Multi-Family,21324000
201204,78729,Residential,20768500
201204,78730,Irrigation - Multi-Family,1561500
201204,78730,Irrigation - Residential,152600
201204,78730,Multi-Family,4327500
201204,78730,Residential,7679700
201204,78731,Irrigation - Multi-Family,485000
201204,78731,Irrigation - Residential,321800
201204,78731,Multi-Family,16869400
201204,78731,Residential,57267500
201204,78733,Residential,28800
201204,78735,Irrigation - Multi-Family,1026000
201204,78735,Multi-Family,9834000
201204,78735,Residential,22983800
201204,78736,Irrigation - Multi-Family,386200
201204,78736,Irrigation - Residential,13900
201204,78736,Multi-Family,2673900
201204,78736,Residential,12997900
201204,78737,Irrigation - Residential,2700
201204,78737,Residential,6083100
201204,78738,Residential,7400
201204,78739,Irrigation - Residential,0
201204,78739,Residential,33644000
201204,78741,Irrigation - Multi-Family,1590900
201204,78741,Irrigation - Residential,4300
201204,78741,Multi-Family,76021300
201204,78741,Residential,17964489
201204,78742,Multi-Family,313300
201204,78742,Residential,649000
201204,78744,Irrigation - Multi-Family,231400
201204,78744,Irrigation - Residential,500
201204,78744,Multi-Family,21669700
201204,78744,Residential,48428900
201204,78745,Irrigation - Multi-Family,1662200
201204,78745,Irrigation - Residential,27000
201204,78745,Multi-Family,29724500
201204,78745,Residential,73000500
201204,78746,Irrigation - Multi-Family,614800
201204,78746,Irrigation - Residential,282000
201204,78746,Multi-Family,12587100
201204,78746,Residential,29132500
201204,78747,Irrigation - Multi-Family,430600
201204,78747,Irrigation - Residential,70800
201204,78747,Multi-Family,6711000
201204,78747,Residential,21073300
201204,78748,Irrigation - Multi-Family,2148900
201204,78748,Irrigation - Residential,2000
201204,78748,Multi-Family,14177300
201204,78748,Residential,65500300
201204,78749,Irrigation - Multi-Family,2534200
201204,78749,Irrigation - Residential,3500
201204,78749,Multi-Family,13511200
201204,78749,Residential,63108300
201204,78750,Irrigation - Multi-Family,1200200
201204,78750,Irrigation - Residential,19800
201204,78750,Multi-Family,12230000
